Number of header lines; NASA Ames sub-format code,44,3010
Name of data creator,None
Institute of data creator,Data held at British Atmospheric Data Centre (BADC), Rutherford Appleton Laboratory, UK.
Data section,0.1,1.1,-1.5
Data section,10301.0
Data section,23.8,19.6,14.3
Data section,17.1,11.3,9.8
Data section,9.7,8.4,7.9
Data section,3.0,4.7,2.4
Data section,10332.0
Data section,30.3,26.0,20.4
Data section,23.6,17.5,15.5
Data section,16.5,15.2,14.8
Data section,10.1,11.5,9.2
Data section,10362.0
Data section,37.2,32.5,26.2
Data section,30.2,23.5,21.1
Data section,22.7,21.2,20.6
Data section,15.9,17.4,14.8
Data section,10393.0
Data section,38.8,34.3,28.5
Data section,32.7,26.1,24.0
Data section,25.6,24.3,24.0
Data section,19.4,20.9,18.3
Data section,10423.0
Data section,34.8,31.7,27.8
Data section,30.0,25.5,24.5
Data section,24.0,24.0,24.6
Data section,19.8,21.6,19.9
Data section,10454.0
Data section,33.3,30.5,27.0
Data section,28.6,24.4,23.8
Data section,23.0,23.2,23.8
Data section,19.0,20.9,19.3
Data section,10485.0
Data section,32.7,29.3,25.1
Data section,27.3,22.5,21.5
Data section,21.1,20.8,21.1
Data section,16.1,18.0,16.1
Data section,10515.0
Data section,31.8,27.9,22.9
Data section,25.8,20.4,18.6
Data section,19.4,18.3,18.0
Data section,13.4,14.9,12.5
Data section,10546.0
Data section,25.4,21.4,16.2
Data section,20.2,14.5,12.2
Data section,14.2,12.6,11.8
Data section,8.0,9.1,6.5
Data section,10576.0
Data section,18.3,14.4,9.3
Data section,13.3,7.7,5.3
Data section,7.6,5.5,4.4
Data section,1.3,2.0,-0.5
Data section,10607.0
Data section,16.2,12.2,7.3
Data section,10.4,4.5,2.2
Data section,3.7,2.0,0.8
Data section,-2.9,-2.1,-4.5
Data section,10637.0
Data section,17.1,13.0,7.5
Data section,11.2,5.1,2.7
Data section,4.4,2.7,2.0
Data section,-2.5,-1.5,-3.8
Data section,10666.0
Data section,26.1,21.9,16.6
Data section,19.7,13.9,12.0
Data section,13.0,11.7,11.4
Data section,6.7,8.2,5.4
Data section,10697.0
Data section,31.6,27.2,21.5
Data section,25.2,19.1,16.8
Data section,18.5,17.1,16.6
Data section,12.3,13.7,11.2
Data section,10727.0
Data section,36.2,31.6,25.5
Data section,29.2,22.5,20.1
Data section,21.4,20.1,19.6
Data section,14.6,16.2,13.6
Data section,10758.0
Data section,38.7,34.1,28.5
Data section,32.6,26.2,23.9
Data section,25.4,24.1,23.7
Data section,18.9,20.4,18.0
Data section,10788.0
Data section,34.4,31.2,27.3
Data section,29.5,25.0,24.0
Data section,23.9,23.9,24.7
Data section,19.7,21.6,20.0
Data section,10819.0
Data section,33.0,30.0,26.4
Data section,28.7,24.4,23.5
Data section,23.4,23.6,24.4
Data section,19.5,21.3,19.7
Data section,10850.0
Data section,34.1,30.6,26.2
Data section,29.0,24.1,22.8
Data section,23.0,22.7,23.1
Data section,18.4,19.9,18.0
Data section,10880.0
Data section,30.5,26.5,21.5
Data section,24.4,19.1,17.2
Data section,18.0,16.9,16.6
Data section,12.0,13.4,11.0
Data section,10911.0
Data section,25.2,21.2,16.1
Data section,19.8,14.1,11.8
Data section,13.6,12.0,11.2
Data section,7.3,8.4,5.8
Data section,10941.0
Data section,16.4,12.6,7.6
Data section,10.7,5.3,3.5
Data section,4.4,2.4,1.0
Data section,-2.2,-1.4,-3.8
Data section,10972.0
Data section,14.6,11.0,6.4
Data section,9.3,3.4,1.1
Data section,2.6,0.6,-0.4
Data section,-4.3,-3.5,-5.8
Data section,11002.0
Data section,17.7,13.5,8.1
Data section,11.6,5.5,3.1
Data section,4.6,3.1,2.3
Data section,-2.1,-1.0,-3.4
Data section,11031.0
Data section,24.5,20.4,15.2
Data section,18.1,12.4,10.4
Data section,11.3,10.0,9.8
Data section,5.0,6.5,3.8
Data section,11062.0
Data section,28.9,24.7,19.1
Data section,22.3,16.3,14.2
Data section,15.3,14.1,13.7
Data section,8.9,10.5,8.3
Data section,11092.0
Data section,35.7,31.0,24.8
Data section,28.9,22.1,19.7
Data section,21.4,19.9,19.4
Data section,14.9,16.4,13.7
Data section,11123.0
Data section,38.0,33.3,27.5
Data section,32.0,25.5,23.2
Data section,24.9,23.7,23.3
Data section,18.9,20.4,17.8
Data section,11153.0
Data section,34.6,31.2,27.0
Data section,30.0,25.4,24.3
Data section,24.5,24.5,25.4
Data section,20.5,22.3,20.8
Data section,11184.0
Data section,33.5,30.4,26.7
Data section,29.1,24.8,24.0
Data section,23.8,23.9,24.4
Data section,20.1,21.7,20.2
Data section,11215.0
Data section,33.1,29.4,25.3
Data section,27.6,22.7,21.4
Data section,21.3,21.3,21.6
Data section,16.5,18.2,16.4
Data section,11245.0
Data section,30.9,26.8,22.0
Data section,25.4,19.7,17.8
Data section,18.9,17.9,17.4
Data section,12.9,14.4,12.1
Data section,11276.0
Data section,25.2,21.0,15.7
Data section,20.1,14.3,11.9
Data section,14.2,12.6,11.8
Data section,8.5,9.5,6.7
Data section,11306.0
Data section,18.8,15.1,10.3
Data section,13.9,8.3,5.9
Data section,7.8,5.6,4.7
Data section,1.3,2.0,-0.2
Data section,11337.0
Data section,18.3,14.2,9.1
Data section,12.9,7.1,4.7
Data section,6.6,4.6,3.7
Data section,0.1,0.9,-1.9
Data section,11367.0
Data section,16.6,12.5,7.0
Data section,10.4,4.5,2.2
Data section,3.3,2.0,1.5
Data section,-3.5,-2.4,-4.6
Data section,11396.0
Data section,24.4,20.1,14.9
Data section,18.2,12.5,10.4
Data section,11.6,10.3,10.1
Data section,5.4,6.9,4.4
Data section,11427.0
Data section,31.8,27.5,21.9
Data section,25.2,19.2,17.0
Data section,18.4,17.1,16.8
Data section,11.9,13.5,11.1
Data section,11457.0
Data section,35.0,30.3,24.2
Data section,28.0,21.4,19.0
Data section,20.2,18.7,18.5
Data section,13.3,14.9,12.4
Data section,11488.0
Data section,37.6,33.2,27.6
Data section,31.5,25.2,23.0
Data section,24.0,22.8,23.0
Data section,17.8,19.4,17.0
Data section,11518.0
Data section,33.3,30.2,26.3
Data section,28.5,24.0,23.0
Data section,22.8,22.8,23.6
Data section,18.8,20.7,18.9
Data section,11549.0
Data section,34.0,31.1,27.4
Data section,29.5,25.2,24.3
Data section,24.5,24.4,25.1
Data section,20.6,22.2,20.6
Data section,11580.0
Data section,33.4,30.0,25.7
Data section,28.5,23.6,22.2
Data section,23.0,22.4,22.7
Data section,18.4,20.1,18.2
Data section,11610.0
Data section,31.8,27.8,22.9
Data section,26.3,20.7,18.8
Data section,20.1,19.0,18.7
Data section,14.3,15.8,13.3
Data section,11641.0
Data section,24.1,20.3,15.2
Data section,18.8,13.1,11.0
Data section,12.6,11.0,10.4
Data section,6.2,7.2,4.7
Data section,11671.0
Data section,19.1,15.3,10.2
Data section,14.0,8.6,6.1
Data section,8.1,6.0,4.8
Data section,1.8,2.4,-0.1
Data section,11702.0
Data section,18.5,14.4,9.2
Data section,12.8,7.0,4.7
Data section,6.2,4.4,3.9
Data section,-0.4,0.5,-1.9
Data section,11732.0
Data section,18.5,14.1,8.6
Data section,12.6,6.5,4.0
Data section,5.8,4.0,2.8
Data section,-0.7,0.3,-2.4
Data section,11762.0
Data section,25.0,20.9,15.5
Data section,18.9,13.1,11.1
Data section,12.3,11.0,10.6
Data section,6.2,7.6,5.2
Data section,11793.0
Data section,31.6,27.3,21.6
Data section,25.2,19.0,16.8
Data section,18.6,17.0,16.6
Data section,12.3,13.8,11.4
Data section,11823.0
Data section,34.8,30.0,23.7
Data section,27.9,21.0,18.6
Data section,20.3,18.8,18.4
Data section,13.5,15.0,12.4
Data section,11854.0
Data section,38.9,34.5,28.8
Data section,32.9,26.4,24.1
Data section,25.5,24.3,24.2
Data section,19.2,20.9,18.1
Data section,11884.0
Data section,35.6,32.2,28.3
Data section,31.0,26.3,25.3
Data section,25.5,25.4,26.1
Data section,21.4,23.2,21.4
Data section,11915.0
Data section,32.8,29.9,26.2
Data section,28.4,24.1,23.2
Data section,23.1,23.2,23.9
Data section,19.2,21.0,19.2
Data section,11946.0
Data section,34.1,30.6,26.2
Data section,29.1,24.1,22.8
Data section,23.1,22.8,23.2
Data section,18.5,20.2,18.1
Data section,11976.0
Data section,30.6,26.7,21.7
Data section,24.9,19.4,17.5
Data section,18.5,17.4,17.2
Data section,12.7,14.1,11.7
Data section,12007.0
Data section,24.9,20.9,15.8
Data section,19.7,14.0,11.6
Data section,13.3,11.8,11.1
Data section,7.0,8.1,5.4
Data section,12037.0
Data section,18.5,14.6,9.5
Data section,13.6,8.0,5.5
Data section,7.1,5.1,4.5
Data section,0.8,1.4,-1.0
Data section,12068.0
Data section,14.9,10.8,5.6
Data section,9.7,3.7,1.2
Data section,2.9,1.0,0.3
Data section,-3.6,-3.2,-5.7
Data section,12098.0
Data section,19.7,15.6,10.1
Data section,14.0,7.8,5.4
Data section,7.4,5.6,4.8
Data section,0.9,2.0,-0.8
Data section,12127.0
Data section,24.0,19.8,14.5
Data section,17.8,12.0,10.0
Data section,10.5,9.5,9.8
Data section,4.1,5.6,3.3
Data section,12158.0
Data section,28.3,24.0,18.4
Data section,21.7,15.7,13.5
Data section,15.1,13.7,13.3
Data section,8.8,10.5,8.1
Data section,12188.0
Data section,35.8,31.1,24.5
Data section,29.1,22.1,19.5
Data section,21.9,20.4,19.6
Data section,15.3,16.8,14.2
Data section,12219.0
Data section,39.0,34.5,28.7
Data section,33.1,26.5,24.2
Data section,26.1,24.6,24.4
Data section,19.8,21.3,18.7
Data section,12249.0
Data section,35.3,31.7,27.8
Data section,30.8,25.9,24.9
Data section,25.6,25.3,25.8
Data section,21.6,23.4,21.5
Data section,12280.0
Data section,31.8,28.9,25.3
Data section,27.4,23.1,22.2
Data section,23.0,22.8,23.3
Data section,19.2,20.9,19.3
Data section,12311.0
Data section,32.3,28.8,24.5
Data section,27.4,22.3,21.0
Data section,21.5,21.1,21.5
Data section,17.1,18.8,16.7
Data section,12341.0
Data section,31.0,27.0,21.9
Data section,25.4,19.9,17.9
Data section,19.3,18.2,17.8
Data section,13.6,15.0,12.5
Data section,12372.0
Data section,25.4,21.4,16.2
Data section,20.2,14.5,12.2
Data section,14.2,12.6,11.7
Data section,8.0,9.1,6.5
Data section,12402.0
Data section,20.2,16.3,11.3
Data section,15.1,9.6,7.2
Data section,9.2,7.2,6.2
Data section,2.8,3.5,1.1
Data section,12433.0
Data section,14.9,10.9,5.9
Data section,9.6,3.8,1.4
Data section,2.8,0.9,0.1
Data section,-3.8,-3.1,-5.4
Data section,12463.0
Data section,21.8,17.7,12.1
Data section,16.0,9.9,7.4
Data section,9.4,7.6,6.8
Data section,2.9,3.8,1.2
Data section,12492.0
Data section,23.7,19.6,14.2
Data section,17.7,11.8,9.8
Data section,11.3,9.8,9.2
Data section,5.0,6.4,4.0
Data section,12523.0
Data section,30.4,26.1,20.5
Data section,23.7,17.7,15.5
Data section,16.7,15.5,15.1
Data section,10.2,11.8,9.2
Data section,12553.0
Data section,33.8,29.2,23.0
Data section,26.8,20.1,17.7
Data section,18.8,17.4,17.2
Data section,11.9,13.5,11.0
Data section,12584.0
Data section,38.3,33.9,28.1
Data section,32.3,25.7,23.5
Data section,25.0,23.8,23.5
Data section,18.7,20.2,17.7
Data section,12614.0
Data section,34.7,31.3,27.4
Data section,30.0,25.2,24.3
Data section,24.4,24.4,24.8
Data section,20.3,22.1,20.1
Data section,12645.0
Data section,33.2,30.3,26.7
Data section,29.0,24.5,23.6
Data section,24.1,23.8,24.3
Data section,20.3,21.8,20.2
Data section,12676.0
Data section,34.0,30.5,26.3
Data section,29.0,24.0,22.8
Data section,22.6,22.4,22.7
Data section,17.7,19.4,17.7
Data section,12706.0
Data section,30.5,26.5,21.5
Data section,24.9,19.3,17.4
Data section,18.5,17.4,17.4
Data section,12.8,14.1,11.7
Data section,12737.0
Data section,24.9,20.8,15.7
Data section,19.7,14.0,11.6
Data section,13.2,11.8,11.2
Data section,6.9,7.9,5.3
Data section,12767.0
Data section,20.2,16.3,11.2
Data section,15.2,9.7,7.2
Data section,9.4,7.3,5.9
Data section,3.1,3.9,1.5
Data section,12798.0
Data section,15.2,11.1,6.0
Data section,9.8,3.9,1.6
Data section,3.4,1.4,0.4
Data section,-3.2,-2.4,-5.2
Data section,12828.0
Data section,19.6,15.4,9.8
Data section,13.8,7.6,5.2
Data section,7.6,5.7,4.6
Data section,1.1,2.2,-0.5
Data section,12857.0
Data section,24.7,20.5,15.1
Data section,18.7,12.8,10.8
Data section,12.0,10.7,10.3
Data section,5.7,7.2,4.7
Data section,12888.0
Data section,26.8,22.5,17.0
Data section,20.1,14.1,12.0
Data section,13.5,12.2,11.7
Data section,7.2,8.7,6.4
Data section,12918.0
Data section,35.6,30.9,24.8
Data section,28.8,22.0,19.5
Data section,21.1,19.6,19.3
Data section,14.4,15.9,13.3
Data section,12949.0
Data section,38.2,33.8,28.0
Data section,32.2,25.7,23.4
Data section,24.8,23.8,23.8
Data section,18.1,19.8,17.3
Data section,12979.0
Data section,34.8,31.4,27.5
Data section,30.1,25.3,24.3
Data section,24.5,24.5,25.1
Data section,20.5,22.2,20.5
Data section,13010.0
Data section,32.8,29.9,26.3
Data section,28.4,24.1,23.2
Data section,23.7,23.5,24.0
Data section,20.0,21.5,19.9
Data section,13041.0
Data section,33.4,29.9,25.5
Data section,28.3,23.4,22.1
Data section,22.5,22.0,22.5
Data section,17.9,19.5,17.4
Data section,13071.0
Data section,30.3,26.3,21.3
Data section,24.7,19.1,17.2
Data section,18.6,17.4,17.1
Data section,13.0,14.2,11.8
Data section,13102.0
Data section,25.2,21.2,16.1
Data section,19.8,14.3,12.0
Data section,13.4,12.0,11.5
Data section,6.9,8.1,5.6
Data section,13132.0
Data section,19.0,15.2,10.1
Data section,14.1,8.6,6.1
Data section,8.3,6.2,4.9
Data section,2.0,2.5,0.1
Data section,13163.0
Data section,16.3,12.1,6.9
Data section,10.9,5.0,2.5
Data section,4.8,2.7,1.6
Data section,-1.6,-1.0,-3.7
Data section,13193.0
Data section,20.5,15.8,10.2
Data section,14.7,8.5,5.6
Data section,8.5,6.5,5.3
Data section,2.0,2.9,0.4
Data section,13223.0
Data section,22.9,18.7,13.4
Data section,16.6,10.9,8.9
Data section,9.6,8.5,8.4
Data section,3.4,4.9,2.5
Data section,13254.0
Data section,29.7,25.3,19.7
Data section,23.0,17.0,14.8
Data section,16.1,14.9,14.6
Data section,9.8,11.3,8.9
Data section,13284.0
Data section,39.1,34.3,28.0
Data section,32.2,25.4,22.9
Data section,24.5,23.1,22.6
Data section,17.9,19.4,16.4
Data section,13315.0
Data section,38.1,33.6,27.7
Data section,32.4,25.6,23.3
Data section,25.5,24.2,23.8
Data section,19.4,20.9,18.1
Data section,13345.0
Data section,34.5,31.1,27.2
Data section,29.8,25.1,24.0
Data section,24.5,24.3,24.9
Data section,20.5,22.0,20.2
Data section,13376.0
Data section,33.4,30.4,26.8
Data section,29.0,24.6,23.7
Data section,23.8,23.9,24.5
Data section,19.9,21.6,19.7
Data section,13407.0
Data section,33.9,30.2,25.8
Data section,28.9,23.9,22.4
Data section,23.5,22.9,23.1
Data section,19.0,20.4,18.3
Data section,13437.0
Data section,31.7,27.6,22.5
Data section,26.2,20.4,18.4
Data section,20.2,19.0,18.6
Data section,14.6,15.9,13.3
Data section,13468.0
Data section,24.4,20.4,15.2
Data section,19.3,13.4,11.1
Data section,13.4,11.5,10.6
Data section,7.3,8.3,5.4
Data section,13498.0
Data section,18.4,14.5,9.6
Data section,13.3,7.9,5.4
Data section,7.5,5.4,4.3
Data section,1.3,1.9,-0.6
Data section,13529.0
Data section,16.1,12.2,7.0
Data section,10.3,4.8,2.4
Data section,3.9,1.8,0.7
Data section,-2.6,-2.0,-4.5
Data section,13559.0
Data section,19.4,15.2,9.7
Data section,13.6,7.4,5.0
Data section,7.1,5.4,4.5
Data section,0.8,1.8,-0.9
Data section,13588.0
Data section,23.3,19.1,13.9
Data section,16.9,11.2,9.4
Data section,10.1,8.9,8.3
Data section,4.0,5.4,2.9
Data section,13619.0
Data section,28.9,24.6,18.9
Data section,22.2,16.2,14.0
Data section,15.3,13.9,13.5
Data section,8.8,10.3,7.9
Data section,13649.0
Data section,36.0,31.3,25.0
Data section,29.2,22.3,19.9
Data section,21.5,20.0,19.6
Data section,14.8,16.4,13.7
Data section,13680.0
Data section,39.3,34.9,29.0
Data section,33.2,26.7,24.4
Data section,25.9,24.7,24.5
Data section,19.7,21.3,18.6
Data section,13710.0
Data section,34.1,30.9,27.0
Data section,29.5,24.7,23.8
Data section,24.0,24.0,24.6
Data section,20.0,21.8,20.0
Data section,13741.0
Data section,34.0,31.2,27.5
Data section,29.6,25.3,24.5
Data section,24.4,24.5,25.2
Data section,20.6,22.2,20.6
Data section,13772.0
Data section,33.1,29.7,25.4
Data section,28.1,23.1,21.8
Data section,22.3,21.9,22.2
Data section,17.8,19.3,17.3
Data section,13802.0
Data section,29.2,25.2,20.4
Data section,23.8,18.1,16.1
Data section,17.4,16.3,16.0
Data section,11.7,13.1,10.6
Data section,13833.0
Data section,24.1,20.1,15.1
Data section,19.0,13.3,11.0
Data section,13.0,11.2,10.3
Data section,6.8,7.8,5.1
Data section,13863.0
Data section,17.9,13.8,8.7
Data section,12.9,7.4,4.7
Data section,7.5,5.3,4.1
Data section,1.3,1.8,-1.0
Data section,13894.0
Data section,15.6,11.5,6.4
Data section,10.6,4.4,1.9
Data section,4.4,2.3,1.3
Data section,-2.0,-1.3,-3.8
Data section,13924.0
Data section,16.7,12.5,7.0
Data section,11.1,4.7,2.3
Data section,4.9,3.1,2.2
Data section,-1.7,-0.6,-3.0
Data section,13953.0
Data section,23.4,19.2,14.1
Data section,17.1,11.4,9.5
Data section,10.3,8.9,8.7
Data section,3.9,5.4,3.1
Data section,13984.0
Data section,30.8,26.5,21.0
Data section,24.5,18.3,16.0
Data section,17.7,16.3,15.9
Data section,11.4,12.9,10.4
Data section,14014.0
Data section,38.9,34.2,27.9
Data section,32.3,25.4,22.8
Data section,24.9,23.3,22.8
Data section,18.3,19.8,17.0
Data section,14045.0
Data section,37.7,33.2,27.3
Data section,31.6,25.0,22.7
Data section,24.5,23.2,22.8
Data section,18.4,19.8,17.0
Data section,14075.0
Data section,35.3,32.1,28.2
Data section,30.4,25.9,25.0
Data section,24.5,24.6,25.3
Data section,20.3,22.2,20.5
Data section,14106.0
Data section,34.0,31.0,27.6
Data section,29.6,25.3,24.4
Data section,24.4,24.4,25.0
Data section,20.5,22.2,20.5
Data section,14137.0
Data section,33.3,29.8,25.6
Data section,28.1,23.4,22.0
Data section,22.1,21.7,22.3
Data section,17.5,19.1,17.1
Data section,14167.0
Data section,31.2,27.1,22.1
Data section,25.5,19.9,18.0
Data section,19.2,18.0,17.7
Data section,13.5,14.8,12.3
Data section,14198.0
Data section,23.6,19.5,14.5
Data section,18.4,12.7,10.3
Data section,12.3,10.6,9.9
Data section,6.2,7.3,4.6
Data section,14228.0
Data section,19.2,15.3,10.2
Data section,14.3,8.7,6.3
Data section,8.5,6.4,5.4
Data section,2.3,3.0,0.5
Data section,14259.0
Data section,17.1,13.0,7.9
Data section,11.9,5.8,3.3
Data section,5.6,3.6,2.4
Data section,-0.8,-0.3,-2.7
Data section,14289.0
Data section,18.5,14.3,8.9
Data section,12.8,6.5,4.1
Data section,6.1,4.4,3.6
Data section,-0.4,0.7,-1.9
Data section,14318.0
Data section,21.0,16.8,11.6
Data section,15.0,9.1,7.1
Data section,8.1,7.0,6.6
Data section,2.0,3.4,1.0
Data section,14349.0
Data section,27.8,23.5,18.0
Data section,21.2,15.3,13.1
Data section,14.3,12.9,12.5
Data section,7.9,9.4,6.9
Data section,14379.0
Data section,36.7,32.0,25.7
Data section,29.8,23.1,20.5
Data section,22.3,20.8,20.3
Data section,15.7,17.1,14.5
Data section,14410.0
Data section,38.3,33.8,27.9
Data section,32.6,25.7,23.4
Data section,25.5,24.1,23.9
Data section,19.4,20.8,18.0
Data section,14440.0
Data section,34.9,31.6,27.8
Data section,30.2,25.5,24.6
Data section,24.6,24.7,25.3
Data section,20.5,22.3,20.7
Data section,14471.0
Data section,33.9,31.1,27.4
Data section,29.4,25.2,24.2
Data section,24.0,24.0,24.9
Data section,20.2,21.9,20.2
Data section,14502.0
Data section,34.4,30.9,26.6
Data section,29.3,24.3,22.9
Data section,23.2,22.9,23.2
Data section,18.6,20.2,18.1
Data section,14532.0
Data section,31.3,27.3,22.5
Data section,25.5,20.1,18.1
Data section,19.2,18.1,17.9
Data section,13.3,14.8,12.4
Data section,14563.0
Data section,24.9,20.9,15.8
Data section,19.9,13.9,11.6
Data section,13.8,12.1,11.4
Data section,7.8,8.7,6.0
Data section,14593.0
Data section,20.3,16.3,11.2
Data section,15.7,9.7,7.1
Data section,10.2,7.9,6.7
Data section,4.2,4.7,2.1
Data section,14624.0
Data section,17.9,13.8,8.5
Data section,12.9,6.6,4.0
Data section,6.7,4.6,3.5
Data section,0.5,1.1,-1.6
Data section,14654.0
Data section,19.3,15.1,9.6
Data section,13.7,7.3,4.9
Data section,7.4,5.6,4.6
Data section,0.9,1.9,-0.7
Data section,14684.0
Data section,23.2,19.1,13.8
Data section,17.0,11.2,9.3
Data section,10.3,9.0,8.7
Data section,4.1,5.6,3.2
Data section,14715.0
Data section,29.5,25.2,19.5
Data section,23.1,16.9,14.8
Data section,16.3,15.0,14.7
Data section,10.0,11.5,9.1
Data section,14745.0
Data section,36.4,31.7,25.6
Data section,29.6,22.9,20.4
Data section,22.1,20.5,20.0
Data section,15.3,16.9,14.2
Data section,14776.0
Data section,38.7,34.2,28.7
Data section,32.8,26.4,24.1
Data section,25.7,24.4,24.2
Data section,19.5,21.0,18.3
Data section,14806.0
Data section,35.4,32.2,28.3
Data section,30.6,26.0,25.1
Data section,25.0,25.0,25.6
Data section,20.8,22.6,20.9
Data section,14837.0
Data section,32.4,29.5,25.9
Data section,28.1,23.6,22.7
Data section,22.8,22.8,23.5
Data section,18.9,20.7,19.0
Data section,14868.0
Data section,32.7,29.1,24.8
Data section,27.7,22.7,21.3
Data section,22.0,21.5,21.8
Data section,17.4,18.8,16.9
Data section,14898.0
Data section,30.9,26.9,21.9
Data section,25.4,19.5,17.6
Data section,19.0,17.9,17.7
Data section,13.2,14.6,12.1
Data section,14929.0
Data section,25.9,21.9,16.7
Data section,20.8,15.0,12.5
Data section,14.8,13.0,12.1
Data section,8.7,9.6,6.9
Data section,14959.0
Data section,19.1,15.1,10.1
Data section,14.3,8.5,6.0
Data section,8.8,6.5,5.3
Data section,2.7,3.1,0.6
Data section,14990.0
Data section,16.6,12.5,7.3
Data section,11.4,5.3,2.8
Data section,5.2,3.1,2.0
Data section,-1.3,-0.6,-3.2
Data section,15020.0
Data section,20.3,16.2,10.7
Data section,14.8,8.3,5.9
Data section,8.4,6.7,5.7
Data section,1.9,3.0,0.4
Data section,15049.0
Data section,26.1,21.9,16.5
Data section,20.1,14.0,12.1
Data section,13.3,12.0,11.7
Data section,7.2,8.6,6.2
Data section,15080.0
Data section,32.0,27.7,22.1
Data section,25.1,19.2,17.1
Data section,18.2,16.8,16.5
Data section,11.7,13.2,10.8
Data section,15110.0
Data section,37.5,32.8,26.6
Data section,30.9,24.0,21.5
Data section,23.4,21.9,21.3
Data section,16.7,18.2,15.4
Data section,15141.0
Data section,38.8,34.3,28.5
Data section,33.2,26.4,24.1
Data section,26.2,24.9,24.6
Data section,20.1,21.6,18.7
Data section,15171.0
Data section,35.1,31.8,27.9
Data section,30.0,25.6,24.7
Data section,24.4,24.4,25.3
Data section,20.4,22.1,20.4
Data section,15202.0
Data section,34.2,31.3,27.8
Data section,29.9,25.6,24.7
Data section,24.6,24.6,25.4
Data section,20.8,22.5,20.8
Data section,15233.0
Data section,32.8,29.4,25.1
Data section,27.7,22.8,21.5
Data section,21.9,21.5,21.9
Data section,17.4,18.9,16.9
Data section,15263.0
Data section,33.8,29.8,24.8
Data section,28.3,22.6,20.6
Data section,22.0,20.9,20.6
Data section,16.3,17.7,15.2
Data section,15294.0
Data section,25.6,21.6,16.5
Data section,20.4,14.6,12.3
Data section,14.3,12.6,11.9
Data section,8.1,9.2,6.6
Data section,15324.0
Data section,19.7,15.8,10.8
Data section,14.8,9.1,6.6
Data section,9.0,6.8,5.6
Data section,2.8,3.3,0.8
Data section,15355.0
Data section,16.1,12.0,6.8
Data section,10.8,4.8,2.4
Data section,4.5,2.5,1.5
Data section,-1.9,-1.2,-3.7
Data section,15385.0
Data section,18.7,14.8,9.3
Data section,12.7,6.7,4.5
Data section,5.6,4.2,3.7
Data section,-1.1,0.1,-2.3
Data section,15414.0
Data section,26.1,21.9,16.7
Data section,20.0,14.2,12.2
Data section,13.3,12.0,11.7
Data section,7.2,8.6,6.2
Data section,15445.0
Data section,32.0,27.7,22.1
Data section,25.4,19.4,17.2
Data section,18.5,17.1,16.8
Data section,12.0,13.6,11.2
Data section,15475.0
Data section,36.2,31.5,25.5
Data section,29.4,22.7,20.2
Data section,21.8,20.4,19.9
Data section,15.1,16.7,14.0
Data section,15506.0
Data section,38.1,33.8,28.2
Data section,32.0,25.6,23.4
Data section,24.7,23.5,23.2
Data section,18.4,20.0,17.3
Data section,15536.0
Data section,34.3,31.0,27.1
Data section,29.9,25.0,24.1
Data section,24.4,24.4,25.0
Data section,20.4,22.2,20.5
Data section,15567.0
Data section,32.8,29.9,26.3
Data section,28.4,24.1,23.2
Data section,23.1,23.2,24.0
Data section,19.3,21.0,19.4
Data section,15598.0
Data section,32.7,29.2,24.8
Data section,27.8,22.8,21.4
Data section,22.0,21.7,21.9
Data section,17.4,19.0,16.9
Data section,15628.0
Data section,30.7,26.6,21.8
Data section,25.3,19.6,17.6
Data section,19.1,17.9,17.6
Data section,13.4,14.7,12.2
Data section,15659.0
Data section,26.3,22.4,17.2
Data section,21.4,15.3,13.1
Data section,15.3,13.5,12.9
Data section,9.1,10.1,7.5
Data section,15689.0
Data section,18.3,14.4,9.5
Data section,13.5,7.8,5.3
Data section,7.8,5.5,4.4
Data section,1.6,2.1,-0.5
Data section,15720.0
Data section,16.4,12.3,7.3
Data section,11.0,5.2,2.8
Data section,4.8,2.8,1.7
Data section,-1.4,-0.9,-3.4
Data section,15750.0
Data section,19.4,15.2,9.7
Data section,13.5,7.4,4.9
Data section,6.9,5.1,4.4
Data section,0.4,1.4,-1.3
Data section,15779.0
Data section,24.5,20.4,15.1
Data section,18.0,12.5,10.6
Data section,11.0,9.9,9.6
Data section,4.7,6.3,4.0
Data section,15810.0
Data section,29.5,25.2,19.5
Data section,22.8,16.8,14.7
Data section,16.0,14.7,14.4
Data section,9.5,11.1,8.7
Data section,15840.0
Data section,34.7,30.0,23.9
Data section,27.7,21.1,18.6
Data section,20.0,18.6,18.2
Data section,13.2,14.8,12.2
Data section,15871.0
Data section,37.9,33.4,27.8
Data section,31.9,25.5,23.2
Data section,24.8,23.4,23.1
Data section,18.5,20.0,17.4
Data section,15901.0
Data section,34.7,31.4,27.5
Data section,30.1,25.3,24.4
Data section,24.7,24.7,25.2
Data section,20.6,22.3,20.8
Data section,15932.0
Data section,33.4,30.5,26.8
Data section,29.1,24.6,23.7
Data section,23.8,23.8,24.5
Data section,19.9,21.6,20.0
Data section,15963.0
Data section,34.0,30.6,26.3
Data section,28.8,24.0,22.7
Data section,22.8,22.5,22.8
Data section,18.2,19.8,17.7
Data section,15993.0
Data section,30.8,26.8,21.8
Data section,25.1,19.6,17.7
Data section,18.8,17.8,17.4
Data section,13.1,14.4,11.9
Data section,16024.0
Data section,25.2,21.3,16.2
Data section,19.9,14.2,12.0
Data section,13.6,11.9,11.2
Data section,7.4,8.4,5.6
Data section,16054.0
Data section,20.3,16.3,11.3
